geo_name|state_us_abbreviation|housing_unit_count_100_percent
Weakley County|TN|15495
White County|TN|11511
Williamson County|TN|68498
Wilson County|TN|45568
Anderson County|TX|20116
Andrews County|TX|5814
Angelina County|TX|35589
Aransas County|TX|15355
Archer County|TX|4107
Armstrong County|TX|904
Atascosa County|TX|17631
Austin County|TX|12926
Bailey County|TX|2784
Bandera County|TX|11561
Bastrop County|TX|29316
Baylor County|TX|2665
Bee County|TX|10649
Bell County|TX|125470
Bexar County|TX|662872
Blanco County|TX|5532
Borden County|TX|385
Bosque County|TX|9623
Bowie County|TX|38493
Brazoria County|TX|118336
Brazos County|TX|77700
Brewster County|TX|5383
Briscoe County|TX|953
Brooks County|TX|3239
Brown County|TX|18287
Burleson County|TX|8832
Burnet County|TX|20870
Caldwell County|TX|13759
Calhoun County|TX|11410
Callahan County|TX|6549
Cameron County|TX|141924
Camp County|TX|5656
Carson County|TX|2784
Cass County|TX|14379
Castro County|TX|3166
Chambers County|TX|13291
Cherokee County|TX|20859
Childress County|TX|2883
Clay County|TX|5150
Cochran County|TX|1360
Coke County|TX|2667
Coleman County|TX|5543
Collin County|TX|300960
Collingsworth County|TX|1616
Colorado County|TX|10527
Comal County|TX|47108
Comanche County|TX|7223
Concho County|TX|1637
Cooke County|TX|16606
Coryell County|TX|25178
Cottle County|TX|968
Crane County|TX|1632
Crockett County|TX|1866
Crosby County|TX|2902
Culberson County|TX|1137
Dallam County|TX|2827
Dallas County|TX|943257
Dawson County|TX|5220
Deaf Smith County|TX|7077
Delta County|TX|2458
Denton County|TX|256139
DeWitt County|TX|9176
Dickens County|TX|1282
Dimmit County|TX|4350
Donley County|TX|2142
Duval County|TX|5523
Eastland County|TX|10258
Ector County|TX|53027
Edwards County|TX|1606
Ellis County|TX|54365
El Paso County|TX|270307
Erath County|TX|16987
Falls County|TX|7724
Fannin County|TX|14191
Fayette County|TX|13868
Fisher County|TX|2212
Floyd County|TX|3004
Foard County|TX|789
Fort Bend County|TX|197030
Franklin County|TX|5770
Freestone County|TX|9265
Frio County|TX|5846
Gaines County|TX|6301
Galveston County|TX|132492
Garza County|TX|2237
Gillespie County|TX|12778
Glasscock County|TX|580
Goliad County|TX|3710
Gonzales County|TX|8794
Gray County|TX|10158
Grayson County|TX|53727
Gregg County|TX|49514
Grimes County|TX|10917
Guadalupe County|TX|50015
Hale County|TX|13541
Hall County|TX|1943
Hamilton County|TX|4566
Hansford County|TX|2338
Hardeman County|TX|2417
Hardin County|TX|22597
Harris County|TX|1598698
Harrison County|TX|27704
Hartley County|TX|1946
Haskell County|TX|3443
Hays County|TX|59417
Hemphill County|TX|1629
Henderson County|TX|39595
Hidalgo County|TX|248287
Hill County|TX|16118
Hockley County|TX|9293
Hood County|TX|24951
Hopkins County|TX|15029
Houston County|TX|11532
Howard County|TX|13124
Hudspeth County|TX|1527
Hunt County|TX|36704
Hutchinson County|TX|10629
Irion County|TX|856
Jack County|TX|4095
Jackson County|TX|6590
Jasper County|TX|16798
Jeff Davis County|TX|1613
Jefferson County|TX|104424
Jim Hogg County|TX|2441
Jim Wells County|TX|16147
Johnson County|TX|56719
Jones County|TX|7422
Karnes County|TX|5650
Kaufman County|TX|38322
Kendall County|TX|14055
Kenedy County|TX|233
Kent County|TX|552
Kerr County|TX|23831
Kimble County|TX|3371
King County|TX|186
Kinney County|TX|1940
Kleberg County|TX|12787
Knox County|TX|2044
Lamar County|TX|22481
Lamb County|TX|6128
Lampasas County|TX|8718
La Salle County|TX|2746
Lavaca County|TX|10344
Lee County|TX|7499
Leon County|TX|9509
Liberty County|TX|28759
Limestone County|TX|10536
Lipscomb County|TX|1512
Live Oak County|TX|6065
Llano County|TX|14280
Loving County|TX|50
Lubbock County|TX|115064
Lynn County|TX|2676
McCulloch County|TX|4302
McLennan County|TX|95124
McMullen County|TX|485
Madison County|TX|5096
Marion County|TX|6218
Martin County|TX|1852
Mason County|TX|2733
Matagorda County|TX|18801
Maverick County|TX|17462
Medina County|TX|17991
Menard County|TX|1702
Midland County|TX|54351
Milam County|TX|11305
Mills County|TX|2846
Mitchell County|TX|4064
Montague County|TX|10131
Montgomery County|TX|177647
Moore County|TX|7881
Morris County|TX|6024
Motley County|TX|779
Nacogdoches County|TX|27406
Navarro County|TX|20234
Newton County|TX|7142
Nolan County|TX|7152
Nueces County|TX|141033
Ochiltree County|TX|4062
Oldham County|TX|841
Orange County|TX|35313
Palo Pinto County|TX|15214
Panola County|TX|10920
Parker County|TX|46628
Parmer County|TX|3799
Pecos County|TX|5585
Polk County|TX|22683
Potter County|TX|47271
Presidio County|TX|3825
Rains County|TX|5269
Randall County|TX|51587
Reagan County|TX|1372
Real County|TX|2599
Red River County|TX|6826
Reeves County|TX|4640
Refugio County|TX|3726
Roberts County|TX|439
Robertson County|TX|8484
Rockwall County|TX|27939
Runnels County|TX|5298
Rusk County|TX|21191
Sabine County|TX|7988
San Augustine County|TX|5342
San Jacinto County|TX|13187
San Patricio County|TX|26521
San Saba County|TX|3177
Schleicher County|TX|1489
Scurry County|TX|6963
Shackelford County|TX|1754
Shelby County|TX|11873
Sherman County|TX|1252
Smith County|TX|87309
Somervell County|TX|3674
Starr County|TX|19526
Stephens County|TX|4938
Sterling County|TX|615
Stonewall County|TX|928
Sutton County|TX|2031
Swisher County|TX|3221
Tarrant County|TX|714803
Taylor County|TX|55750
Terrell County|TX|700
Terry County|TX|4828
Throckmorton County|TX|1079
Titus County|TX|12054
Tom Green County|TX|46571
Travis County|TX|441240
Trinity County|TX|8713
Tyler County|TX|10579
Upshur County|TX|16613
Upton County|TX|1548
Uvalde County|TX|10811
Val Verde County|TX|18651
Van Zandt County|TX|22817
Victoria County|TX|35417
Walker County|TX|24058
Waller County|TX|15839
Ward County|TX|4694
Washington County|TX|15514
Webb County|TX|73496
Wharton County|TX|17127
Wheeler County|TX|2730
Wichita County|TX|55566
Wilbarger County|TX|6318
Willacy County|TX|7040
Williamson County|TX|162773
Wilson County|TX|16766
Winkler County|TX|3027
Wise County|TX|23781
Wood County|TX|20861
Yoakum County|TX|2978
Young County|TX|8622
Zapata County|TX|6203
Zavala County|TX|4283
Beaver County|UT|2908
Box Elder County|UT|17326
Cache County|UT|37024
Carbon County|UT|9551
Daggett County|UT|1141
Davis County|UT|97570
Duchesne County|UT|9493
Emery County|UT|4489
Garfield County|UT|3726
Grand County|UT|4816
Iron County|UT|19667
Juab County|UT|3502
Kane County|UT|5815
Millard County|UT|4939
Morgan County|UT|3006
Piute County|UT|898
Rich County|UT|2834
Salt Lake County|UT|364031
San Juan County|UT|5734
Sanpete County|UT|10379
Sevier County|UT|8449
Summit County|UT|26545
Tooele County|UT|19455
Uintah County|UT|11972
Utah County|UT|148350
Wasatch County|UT|10577
Washington County|UT|57734
Wayne County|UT|1591
Weber County|UT|86187
Addison County|VT|16760
Bennington County|VT|20922
Caledonia County|VT|15942
Chittenden County|VT|65722
Essex County|VT|5019
Franklin County|VT|21588
Grand Isle County|VT|5048
Lamoille County|VT|12969
Orange County|VT|14845
Orleans County|VT|16162
Rutland County|VT|33768
Washington County|VT|29941
Windham County|VT|29735
Windsor County|VT|34118
Accomack County|VA|21002
Albemarle County|VA|42122
Alleghany County|VA|8074
Amelia County|VA|5359
Amherst County|VA|13976
Appomattox County|VA|6921
Arlington County|VA|105404
Augusta County|VA|31194
Bath County|VA|3270
Bedford County|VA|31937
Bland County|VA|3265
Botetourt County|VA|14562
Brunswick County|VA|8166
Buchanan County|VA|11576
Buckingham County|VA|7244
Campbell County|VA|24769
Caroline County|VA|11729
Carroll County|VA|16569
Charles City County|VA|3229
Charlotte County|VA|6273
Chesterfield County|VA|122555
Clarke County|VA|6235
Craig County|VA|2809
Culpeper County|VA|17657
Cumberland County|VA|4626
Dickenson County|VA|7579
Dinwiddie County|VA|11422
Essex County|VA|5757
Fairfax County|VA|407998
Fauquier County|VA|25600
Floyd County|VA|7790
Fluvanna County|VA|10383
Franklin County|VA|29315
Frederick County|VA|31346
Giles County|VA|8319
Gloucester County|VA|15852
Goochland County|VA|8618
Grayson County|VA|9156
Greene County|VA|7509
Greensville County|VA|4090
Halifax County|VA|18004
Hanover County|VA|38360
Henrico County|VA|132778
Henry County|VA|26268
Highland County|VA|1837
Isle of Wight County|VA|14633
James City County|VA|29797
King and Queen County|VA|3414
King George County|VA|9477
King William County|VA|6522
Lancaster County|VA|7402
Lee County|VA|11745
Loudoun County|VA|109442
Louisa County|VA|16319
Lunenburg County|VA|5935
Madison County|VA|5932
Mathews County|VA|5669
Mecklenburg County|VA|18591
Middlesex County|VA|7133
Montgomery County|VA|38569
Nelson County|VA|9931
New Kent County|VA|7295
Northampton County|VA|7301
Northumberland County|VA|8995
Nottoway County|VA|6650
Orange County|VA|14616
Page County|VA|11600
Patrick County|VA|10083
Pittsylvania County|VA|31307
Powhatan County|VA|10043
Prince Edward County|VA|9149
Prince George County|VA|12056
Prince William County|VA|137115
Pulaski County|VA|17235
Rappahannock County|VA|3839
Richmond County|VA|3850
Roanoke County|VA|40016
Rockbridge County|VA|11152
Rockingham County|VA|33660
Russell County|VA|13484
Scott County|VA|11916
Shenandoah County|VA|20876
Smyth County|VA|15427
Southampton County|VA|7473
Spotsylvania County|VA|45185
Stafford County|VA|43978
Surry County|VA|3444
Sussex County|VA|4696
Tazewell County|VA|20826
Warren County|VA|16034
Washington County|VA|25601
Westmoreland County|VA|10618
Wise County|VA|17940
Wythe County|VA|14079
York County|VA|26849
Alexandria city|VA|72376
Bedford city|VA|2920
Bristol city|VA|8831
Buena Vista city|VA|2936
Charlottesville city|VA|19189
Chesapeake city|VA|83196
Colonial Heights city|VA|7831
Covington city|VA|3067
Danville city|VA|22438
Emporia city|VA|2565
Fairfax city|VA|8680
Falls Church city|VA|5489
Franklin city|VA|3901
Fredericksburg city|VA|10467
Galax city|VA|3252
Hampton city|VA|59566
Harrisonburg city|VA|17444
Hopewell city|VA|10121
Lexington city|VA|2546
Lynchburg city|VA|31992
Manassas city|VA|13123
Manassas Park city|VA|4904
Martinsville city|VA|7205
Newport News city|VA|76198
Norfolk city|VA|95018
Norton city|VA|1945
Petersburg city|VA|16326
Poquoson city|VA|4726
Portsmouth city|VA|40806
Radford city|VA|6427
Richmond city|VA|98349
Roanoke city|VA|47453
Salem city|VA|10832
Staunton city|VA|11738
Suffolk city|VA|33035
Virginia Beach city|VA|177879
Waynesboro city|VA|9717
Williamsburg city|VA|5176
Winchester city|VA|11872
Adams County|WA|6242
Asotin County|WA|9872
Benton County|WA|68618
Chelan County|WA|35465
Clallam County|WA|35582
Clark County|WA|167413
Columbia County|WA|2136
Cowlitz County|WA|43450
Douglas County|WA|16004
Ferry County|WA|4403
Franklin County|WA|24423
Garfield County|WA|1233
Grant County|WA|35083
Grays Harbor County|WA|35166
Island County|WA|40234
Jefferson County|WA|17767
King County|WA|851261
Kitsap County|WA|107367
Kittitas County|WA|21900
Klickitat County|WA|9786
Lewis County|WA|34050
Lincoln County|WA|5776
Mason County|WA|32518
Okanogan County|WA|22245
Pacific County|WA|15547
Pend Oreille County|WA|7936
Pierce County|WA|325375
San Juan County|WA|13313
Skagit County|WA|51473
Skamania County|WA|5628
Snohomish County|WA|286659
Spokane County|WA|201434
Stevens County|WA|21156
Thurston County|WA|108182
Wahkiakum County|WA|2067
Walla Walla County|WA|23451
Whatcom County|WA|90665
Whitman County|WA|19323
Yakima County|WA|85474
Barbour County|WV|7849
Berkeley County|WV|44762
Boone County|WV|11070
Braxton County|WV|7415
Brooke County|WV|10967
Cabell County|WV|46169
Calhoun County|WV|3963
Clay County|WV|4572
Doddridge County|WV|3946
Fayette County|WV|21618
Gilmer County|WV|3448
Grant County|WV|6366
Greenbrier County|WV|18980
Hampshire County|WV|13688
Hancock County|WV|14541
Hardy County|WV|8078
Harrison County|WV|31431
Jackson County|WV|13305
Jefferson County|WV|22037
Kanawha County|WV|92618
Lewis County|WV|7958
Lincoln County|WV|9887
Logan County|WV|16743
McDowell County|WV|11322
Marion County|WV|26463
Marshall County|WV|15918
Mason County|WV|13006
Mercer County|WV|30115
Mineral County|WV|13039
Mingo County|WV|12699
Monongalia County|WV|43238
Monroe County|WV|7601
Morgan County|WV|9753
Nicholas County|WV|13064
Ohio County|WV|21172
Pendleton County|WV|5132
Pleasants County|WV|3390
Pocahontas County|WV|8847
Preston County|WV|15097
Putnam County|WV|23438
Raleigh County|WV|35931
Randolph County|WV|14189
Ritchie County|WV|5843
Roane County|WV|7351
Summers County|WV|7680
Taylor County|WV|7541
Tucker County|WV|5346
Tyler County|WV|5000
Upshur County|WV|11099
Wayne County|WV|19227
Webster County|WV|5428
Wetzel County|WV|8173
Wirt County|WV|3231
Wood County|WV|40215
Wyoming County|WV|10958
Adams County|WI|17436
Ashland County|WI|9656
Barron County|WI|23614
Bayfield County|WI|12999
Brown County|WI|104371
Buffalo County|WI|6664
Burnett County|WI|15278
Calumet County|WI|19695
Chippewa County|WI|27185
Clark County|WI|15076
Columbia County|WI|26137
Crawford County|WI|8802
Dane County|WI|216022
Dodge County|WI|37005
Door County|WI|23966
Douglas County|WI|22825
Dunn County|WI|17964
Eau Claire County|WI|42151
Florence County|WI|4780
Fond du Lac County|WI|43910
Forest County|WI|8970
Grant County|WI|21581
Green County|WI|15856
Green Lake County|WI|10616
Iowa County|WI|10719
Iron County|WI|5999
Jackson County|WI|9727
Jefferson County|WI|35147
Juneau County|WI|14669
Kenosha County|WI|69288
Kewaunee County|WI|9304
La Crosse County|WI|48402
Lafayette County|WI|7230
Langlade County|WI|12360
Lincoln County|WI|16784
Manitowoc County|WI|37189
Marathon County|WI|57734
Marinette County|WI|30379
Marquette County|WI|9896
Menominee County|WI|2253
Milwaukee County|WI|418053
Monroe County|WI|19204
Oconto County|WI|23537
Oneida County|WI|30125
Outagamie County|WI|73149
Ozaukee County|WI|36267
Pepin County|WI|3579
Pierce County|WI|16132
Polk County|WI|24248
Portage County|WI|30054
Price County|WI|11120
Racine County|WI|82164
Richland County|WI|8868
Rock County|WI|68422
Rusk County|WI|8883
St. Croix County|WI|33983
Sauk County|WI|29708
Sawyer County|WI|15975
Shawano County|WI|20720
Sheboygan County|WI|50766
Taylor County|WI|10582
Trempealeau County|WI|12619
Vernon County|WI|13720
Vilas County|WI|25116
Walworth County|WI|51531
Washburn County|WI|12979
Washington County|WI|54695
Waukesha County|WI|160864
Waupaca County|WI|25396
Waushara County|WI|14843
Winnebago County|WI|73329
Wood County|WI|34088
Albany County|WY|17939
Big Horn County|WY|5379
Campbell County|WY|18955
Carbon County|WY|8576
Converse County|WY|6403
Crook County|WY|3595
Fremont County|WY|17796
Goshen County|WY|5972
Hot Springs County|WY|2582
Johnson County|WY|4553
Laramie County|WY|40462
Lincoln County|WY|8946
Natrona County|WY|33807
Niobrara County|WY|1338
Park County|WY|13562
Platte County|WY|4667
Sheridan County|WY|13939
Sublette County|WY|5770
Sweetwater County|WY|18735
Teton County|WY|12813
Uinta County|WY|8713
Washakie County|WY|3833
Weston County|WY|3533
